"name","RAM"
"Apple iPhone XS 512GB","4RAM"
"InFocus Hero Power B1","2RAM"
"Gionee S11 Lite","4RAM"
"Gionee A1 Plus","4RAM"
"Samsung Galaxy J7 Nxt 32GB","3RAM"
"Karbonn K9 Smart Plus","1RAM"
"Lava Z61 2GB RAM","2RAM"
"Samsung Galaxy J7 Prime 2","3RAM"
"Gionee S6s","3RAM"
"Motorola P40","4RAM"
"Panasonic Eluga Ray 530","3RAM"
"Xiaomi Redmi Y1","4RAM"
"Panasonic Eluga X1 Pro","6RAM"
"Coolpad Cool 9","4RAM"
"Oppo Find X2","2RAM"
"Nubia Z20","6RAM"
"Karbonn Mahaabali K5000",
"Mobiistar C1 Shine","2RAM"
"Motorola X4 64GB","4RAM"
"iKall K3312","2RAM"
"Lava Z50","1RAM"
"iVOOMi iPro Plus","1RAM"
"Tecno Camon i2X","4RAM"
"Oppo A1s","3RAM"
"Motorola G8","4RAM"
"Gionee F9","3RAM"
"BlackBerry Z10","2RAM"
"Gionee S6","3RAM"
"Gionee M5 Plus","3RAM"
"Google Pixel 2","4RAM"
"Karbonn Jumbo K9","2RAM"
"Lava Z60","1RAM"
"Apple iPhone XR 2019","4RAM"
"Asus Zenfone Selfie (3GB RAM, 16GB)","3RAM"
"Nubia Red Magic","8RAM"
"Vivo Y21L 4G","1RAM"
"Samsung Galaxy S8 Plus 128GB","6RAM"
"iKall K12 New",
"Lenovo A2010","1RAM"
"Itel A44 Pro","2RAM"
"LG V50 ThinQ","6RAM"
"Mobiistar C1","2RAM"
"Micromax Selfie 3","3RAM"
"Apple iPhone XS Plus","4RAM"
"Lenovo A7000","2RAM"
"Karbonn K2 Boom Box",
"LG Q7","3RAM"
"Huawei P30","6RAM"
"OnePlus 5 64GB","6RAM"
"Nokia 5 3GB RAM","3RAM"
"Tecno Camon iAce 2X","3RAM"
"Itel Power 400",
"Karbonn K24 Plus",
"Motorola G7 Plus","4RAM"
"Motorola G5S","4RAM"
"Kechao K112",
"Samsung Galaxy J7 Prime 32GB","3RAM"
"Sony Xperia XA Dual","2RAM"
"Panasonic Eluga Ray 800","4RAM"
"LYF Water 1","2RAM"
"HOMTOM H3","3RAM"
"Motorola Moto X (3rd Gen)","2RAM"
"BlackBerry Classic Q20","2RAM"
"Gionee X1S","3RAM"
"Samsung Galaxy A5 2018","4RAM"
"Jivi Flip 6",
"Oppo F11 Pro Marvels Avengers Limited Edition","6RAM"
"Lenovo Phab 2 Plus","3RAM"
"Micromax Bolt Q346","1RAM"
"Nokia N9 2019","1RAM"
"Oppo A71 2018","3RAM"
