"Name","Operating System","Display","Camera","Battery","Special Features""Mobile Phones",,,,,,,,
"Oppo A5s","Android v8.1 (Oreo)","6.2 inches (15.75 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 8 MP Front Camera","4230 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Vivo Y15 2019","Android v9.0 (Pie)","6.35 inches (16.13 cm) bezel-less display with waterdrop notch","13 + 8 + 2 MP Triple Rear Cameras 16 MP Front Camera","5000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi 6A","Android v8.1 (Oreo)","5.45 inches (13.84 cm) bezel-less display","13 MP Rear Camera 5 MP Front Camera","3000 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Samsung Galaxy A20","Android v9.0 (Pie)","6.4 inches (16.26 cm) bezel-less display with waterdrop notch","13 + 5 MP Dual Rear Cameras 8 MP Front Camera","4000 mAh battery with Fast Charging","Rear Fingerprint Sensor 3.5 mm headphone jack present",,,
"Vivo V15","Android v9.0 (Pie)","6.53 inches (16.59 cm) bezel-less display Gorilla Glass 5 Protection","12 + 8 + 5 MP Triple Rear Cameras 32 MP Pop-Up Selfie Camera","4000 mAh battery with Fast Charging","Rear Fingerprint Sensor 3.5 mm headphone jack present",,,
"Xiaomi Redmi K20","Android v9.0 (Pie)","6.39 inches (16.23 cm) bezel-less display Gorilla Glass 5 Protection","48 + 13 + 8 MP Triple Rear Cameras 20 MP Front Camera","4000 mAh battery with Quick Charging v3.0","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Apple iPhone 7 Price","iOS v10 Upgradable to v11.2","4.7 inches (11.94 cm) display Oleophobic coating Protection","12 MP Rear Camera 7 MP Front Camera","1960 mAh battery","Front Fingerprint Sensor No 3.5 mm headphone jack present",,,
"Xiaomi Redmi 6 64GB","Android v8.1 (Oreo)","5.45 inches (13.84 cm) bezel-less display","12 + 5 MP Dual Rear Cameras 5 MP Front Camera","3000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 6 Pro","Android v8.1 (Oreo)","6.26 inches (15.9 cm) bezel-less display with notch Corning Gorilla Glass Protection","12 + 5 MP Dual Rear Cameras 20 + 2 MP Dual Front Cameras","4000 mAh battery with Quick Charging v3.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Y3","Android v9.0 (Pie)","6.26 inches (15.9 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","12 + 2 MP Dual Rear Cameras 32 MP Front Camera","4000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
